@relation InstanceResultListener

@attribute Key_Dataset {iris}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.lazy.KStar}
@attribute Key_Scheme_options {'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-B 20 -M a'}
@attribute Key_Scheme_version_ID {-3080186098777067172,332458330800479083}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

iris,1,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.210071,10.661765,44.562706,23.774438,8.771677,15.00276,1.584963,0.584778,1.000184,21.508801,1.43392,90.470283,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0.004,0.011,0.002125,0.007397,2.125,7.397,12262,10633,2353,93.333333,33.333333,?
iris,1,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003268,0.003466,0.735294,0.735294,23.774438,0.106341,23.668096,1.584963,0.007089,1.577873,23.668096,1.577873,99.552707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.007,0.00068,0.005643,0.68,5.643,12262,10633,2353,100,33.333333,?
iris,1,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.017974,0.070612,4.044118,14.97908,23.774438,0.689528,23.084909,1.584963,0.045969,1.538994,23.084909,1.538994,97.099707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.005,0.001069,0.004019,1.069,4.019,12262,10633,2353,100,35.555556,?
iris,1,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003268,0.003466,0.735294,0.735294,23.774438,0.106341,23.668096,1.584963,0.007089,1.577873,23.668096,1.577873,99.552707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.003,0.000736,0.00267,0.736,2.67,12262,10633,2353,100,33.333333,?
iris,1,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.032626,0.099799,7.340754,21.170482,23.774438,1.270949,22.503488,1.584963,0.08473,1.500233,22.503488,1.500233,94.654135,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.003,0.000421,0.002688,0.421,2.688,12262,10633,2353,100,37.777778,?
iris,1,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.210071,10.661765,44.562706,23.774438,8.771677,15.00276,1.584963,0.584778,1.000184,21.508801,1.43392,90.470283,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0.002,0.00033,0.00129,0.33,1.29,12262,10633,2353,93.333333,33.333333,?
iris,1,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047277,0.210069,10.63739,44.562354,23.774438,8.768146,15.006292,1.584963,0.584543,1.000419,21.512333,1.434156,90.485138,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0.001,0.000203,0.00072,0.203,0.72,12262,10633,2353,93.333333,33.333333,?
iris,1,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,13,2,0,86.666667,13.333333,0,0.8,0.091503,0.297064,20.588235,63.016894,23.774438,17.437013,6.337424,1.584963,1.162468,0.422495,19.349506,1.289967,81.387859,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.9,0.804444,0.866667,0.866667,0.001,0,0.000252,0.000658,0.252,0.658,12262,10633,2353,86.666667,33.333333,?
iris,1,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,13,2,0,86.666667,13.333333,0,0.8,0.106155,0.23301,23.884872,49.428891,23.774438,5.009882,18.764555,1.584963,0.333992,1.25097,18.764555,1.25097,78.927441,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.966667,0.915952,0.866667,0.866667,0.001,0,0.000284,0.000698,0.284,0.698,12262,10633,2353,100,44.444444,?
